id	iri
0-0-GO:0050957-PATO:0001507-0-0-0	ZP:0000209
0-0-GO:0071679-PATO:0001507-0-0-0	ZP:0000210
0-0-ZFA:0000059-PATO:0000599-0-0-0	ZP:0000211
0-0-ZFA:0001094-PATO:0000169-0-0-0	ZP:0000212
0-0-ZFA:0001094-PATO:0002076-0-0-0	ZP:0000213
0-0-ZFA:0001117-PATO:0001906-0-0-0	ZP:0000214
0-0-ZFA:0001692-PATO:0000937-0-0-0	ZP:0000215
GO:0030424-BFO:0000050-ZFA:0009149-PATO:0000628-0-0-0	ZP:0000216
0-0-GO:0001889-PATO:0001507-0-0-0	ZP:0000217
0-0-ZFA:0000084-PATO:0000327-0-0-0	ZP:0000218
0-0-ZFA:0000124-PATO:0001473-0-0-0	ZP:0000219
0-0-ZFA:0001117-PATO:0000051-0-0-0	ZP:0000220
0-0-GO:0031101-PATO:0001507-0-0-0	ZP:0000221
0-0-GO:0001947-PATO:0001507-0-0-0	ZP:0000222
0-0-GO:0007507-PATO:0001507-0-0-0	ZP:0000223
0-0-ZFA:0001094-PATO:0001591-0-0-0	ZP:0000224
0-0-ZFA:0001114-PATO:0001958-0-0-0	ZP:0000225
0-0-GO:0043931-PATO:0000502-0-0-0	ZP:0000226
0-0-GO:0070509-PATO:0002302-0-0-0	ZP:0000227
0-0-GO:0006171-PATO:0000911-0-0-0	ZP:0000228
0-0-GO:0006183-PATO:0000911-0-0-0	ZP:0000229
0-0-GO:0060047-PATO:0000911-0-0-0	ZP:0000230
0-0-ZFA:0000114-PATO:0000025-0-0-0	ZP:0000231
0-0-ZFA:0000114-PATO:0001581-0-0-0	ZP:0000232
0-0-ZFA:0000114-PATO:0001624-0-0-0	ZP:0000233
0-0-ZFA:0001216-PATO:0000645-0-0-0	ZP:0000234
0-0-ZFA:0001227-PATO:0000645-0-0-0	ZP:0000235
0-0-GO:0045214-PATO:0001507-0-0-0	ZP:0000236
0-0-GO:0055002-PATO:0001507-0-0-0	ZP:0000237
0-0-GO:0070650-PATO:0001507-0-0-0	ZP:0000238
0-0-ZFA:0001094-PATO:0000300-0-0-0	ZP:0000239
0-0-ZFA:0001094-PATO:0000617-0-0-0	ZP:0000240
ZFA:0005145-BFO:0000050-ZFA:0001115-PATO:0001372-0-0-0	ZP:0000241
GO:0030017-BFO:0000050-ZFA:0005277-PATO:0000937-0-0-0	ZP:0000242
GO:0030018-BFO:0000050-ZFA:0005277-PATO:0000937-0-0-0	ZP:0000243
GO:0031430-BFO:0000050-ZFA:0005277-PATO:0001630-0-0-0	ZP:0000244
GO:0005862-BFO:0000050-ZFA:0009117-PATO:0000462-0-0-0	ZP:0000245
GO:0005884-BFO:0000050-ZFA:0009117-PATO:0000937-0-0-0	ZP:0000246
GO:0005884-BFO:0000050-ZFA:0009117-PATO:0001566-0-0-0	ZP:0000247
GO:0005884-BFO:0000050-ZFA:0009117-PATO:0001567-0-0-0	ZP:0000248
GO:0030016-BFO:0000050-ZFA:0009117-PATO:0000639-0-0-0	ZP:0000249
GO:0030016-BFO:0000050-ZFA:0009117-PATO:0000937-0-0-0	ZP:0000250
GO:0030016-BFO:0000050-ZFA:0009117-PATO:0000967-0-0-0	ZP:0000251
