affected_entity_1_rel	affected_entity_1_sub	affected_entity_1_super	affected_entity_2_rel	affected_entity_2_sub	affected_entity_2_super	id	iri	pato_id	pattern
		ZFA:0001205			ZFA:0001400	0-0-ZFA:0001205-PATO:0000642-0-0-ZFA:0001400	ZP:0000058	PATO:0000642	https://raw.githubusercontent.com/obophenotype/zebrafish-phenotype-ontology/master/src/patterns/dosdp-patterns/abnormalQualityOfThingTowardsThing.yaml
		ZFA:0001249				0-0-ZFA:0001249-PATO:0001921-0-0-0	ZP:0000059	PATO:0001921	https://raw.githubusercontent.com/obophenotype/zebrafish-phenotype-ontology/master/src/patterns/dosdp-patterns/abnormalQualityOfThing.yaml
		ZFA:0001260				0-0-ZFA:0001260-PATO:0001921-0-0-0	ZP:0000060	PATO:0001921	https://raw.githubusercontent.com/obophenotype/zebrafish-phenotype-ontology/master/src/patterns/dosdp-patterns/abnormalQualityOfThing.yaml
		ZFA:0001383				0-0-ZFA:0001383-PATO:0001483-0-0-0	ZP:0000061	PATO:0001483	https://raw.githubusercontent.com/obophenotype/zebrafish-phenotype-ontology/master/src/patterns/dosdp-patterns/abnormalQualityOfThing.yaml
		ZFA:0001399				0-0-ZFA:0001399-PATO:0000587-0-0-0	ZP:0000062	PATO:0000587	https://raw.githubusercontent.com/obophenotype/zebrafish-phenotype-ontology/master/src/patterns/dosdp-patterns/abnormalQualityOfThing.yaml
		ZFA:0001399			ZFA:0001422	0-0-ZFA:0001399-PATO:0000642-0-0-ZFA:0001422	ZP:0000063	PATO:0000642	https://raw.githubusercontent.com/obophenotype/zebrafish-phenotype-ontology/master/src/patterns/dosdp-patterns/abnormalQualityOfThingTowardsThing.yaml
		ZFA:0001400				0-0-ZFA:0001400-PATO:0000587-0-0-0	ZP:0000064	PATO:0000587	https://raw.githubusercontent.com/obophenotype/zebrafish-phenotype-ontology/master/src/patterns/dosdp-patterns/abnormalQualityOfThing.yaml
		ZFA:0001422				0-0-ZFA:0001422-PATO:0000587-0-0-0	ZP:0000065	PATO:0000587	https://raw.githubusercontent.com/obophenotype/zebrafish-phenotype-ontology/master/src/patterns/dosdp-patterns/abnormalQualityOfThing.yaml
		ZFA:0001516				0-0-ZFA:0001516-PATO:0000462-0-0-0	ZP:0000066	PATO:0000462	https://raw.githubusercontent.com/obophenotype/zebrafish-phenotype-ontology/master/src/patterns/dosdp-patterns/abnormalQualityOfThing.yaml
		ZFA:0005198				0-0-ZFA:0005198-PATO:0000470-0-0-0	ZP:0000067	PATO:0000470	https://raw.githubusercontent.com/obophenotype/zebrafish-phenotype-ontology/master/src/patterns/dosdp-patterns/abnormalQualityOfThing.yaml
		ZFA:0009149				0-0-ZFA:0009149-PATO:0000462-0-0-0	ZP:0000068	PATO:0000462	https://raw.githubusercontent.com/obophenotype/zebrafish-phenotype-ontology/master/src/patterns/dosdp-patterns/abnormalQualityOfThing.yaml
		GO:0007411				0-0-GO:0007411-PATO:0001507-0-0-0	ZP:0000069	PATO:0001507	https://raw.githubusercontent.com/obophenotype/zebrafish-phenotype-ontology/master/src/patterns/dosdp-patterns/abnormalQualityOfThing.yaml
		GO:0021772				0-0-GO:0021772-PATO:0001507-0-0-0	ZP:0000070	PATO:0001507	https://raw.githubusercontent.com/obophenotype/zebrafish-phenotype-ontology/master/src/patterns/dosdp-patterns/abnormalQualityOfThing.yaml
		GO:0048883				0-0-GO:0048883-PATO:0000502-0-0-0	ZP:0000071	PATO:0000502	https://raw.githubusercontent.com/obophenotype/zebrafish-phenotype-ontology/master/src/patterns/dosdp-patterns/abnormalQualityOfThing.yaml
		GO:0048918				0-0-GO:0048918-PATO:0001507-0-0-0	ZP:0000072	PATO:0001507	https://raw.githubusercontent.com/obophenotype/zebrafish-phenotype-ontology/master/src/patterns/dosdp-patterns/abnormalQualityOfThing.yaml
		GO:0060384				0-0-GO:0060384-PATO:0001507-0-0-0	ZP:0000073	PATO:0001507	https://raw.githubusercontent.com/obophenotype/zebrafish-phenotype-ontology/master/src/patterns/dosdp-patterns/abnormalQualityOfThing.yaml
		GO:0097155				0-0-GO:0097155-PATO:0001507-0-0-0	ZP:0000074	PATO:0001507	https://raw.githubusercontent.com/obophenotype/zebrafish-phenotype-ontology/master/src/patterns/dosdp-patterns/abnormalQualityOfThing.yaml
		ZFA:0000048				0-0-ZFA:0000048-PATO:0000937-0-0-0	ZP:0000075	PATO:0000937	https://raw.githubusercontent.com/obophenotype/zebrafish-phenotype-ontology/master/src/patterns/dosdp-patterns/abnormalQualityOfThing.yaml
		ZFA:0000175				0-0-ZFA:0000175-PATO:0000574-0-0-0	ZP:0000076	PATO:0000574	https://raw.githubusercontent.com/obophenotype/zebrafish-phenotype-ontology/master/src/patterns/dosdp-patterns/abnormalQualityOfThing.yaml
		ZFA:0000357				0-0-ZFA:0000357-PATO:0001483-0-0-0	ZP:0000077	PATO:0001483	https://raw.githubusercontent.com/obophenotype/zebrafish-phenotype-ontology/master/src/patterns/dosdp-patterns/abnormalQualityOfThing.yaml
		ZFA:0000402				0-0-ZFA:0000402-PATO:0000937-0-0-0	ZP:0000078	PATO:0000937	https://raw.githubusercontent.com/obophenotype/zebrafish-phenotype-ontology/master/src/patterns/dosdp-patterns/abnormalQualityOfThing.yaml
BFO:0000050	ZFA:0009276	ZFA:0000402				ZFA:0009276-BFO:0000050-ZFA:0000402-PATO:0001997-0-0-0	ZP:0000079	PATO:0001997	https://raw.githubusercontent.com/obophenotype/zebrafish-phenotype-ontology/master/src/patterns/dosdp-patterns/abnormalQualityPartOfThing.yaml
