affected_entity_1_sub	affected_entity_1_super	affected_entity_2_super	defined_class	pato_id
BSPO:0000072	ZFA:0000140	ZFA:0009096	ZP:0015416	PATO:0002002
BSPO:0000084	ZFA:0000101	ZFA:0009301	ZP:0016074	PATO:0002001
ZFA:0009248	ZFA:0000119	ZFA:0000143	ZP:0016174	PATO:0002168
BSPO:0000079	ZFA:0000076	ZFA:0009091	ZP:0016266	PATO:0002000
BSPO:0000079	ZFA:0005222	ZFA:0009091	ZP:0016267	PATO:0002000
BSPO:0000085	ZFA:0001115	ZFA:0009091	ZP:0016271	PATO:0002270
BSPO:0000085	ZFA:0001115	ZFA:0009199	ZP:0016272	PATO:0002270
BSPO:0000085	ZFA:0001117	ZFA:0009091	ZP:0016273	PATO:0002270
BSPO:0000085	ZFA:0001117	ZFA:0009199	ZP:0016274	PATO:0002270
BSPO:0000079	ZFA:0000029	ZFA:0009071	ZP:0016370	PATO:0001905
BSPO:0000082	ZFA:0000032	ZFA:0009100	ZP:0016411	PATO:0002001
BSPO:0000079	ZFA:0001115	ZFA:0009199	ZP:0016501	PATO:0002001
ZFA:0005746	ZFA:0000135	ZFA:0005746	ZP:0016647	PATO:0001505
GO:0030016	ZFA:0005145	ZFA:0001089	ZP:0016701	PATO:0001453
BSPO:0000072	ZFA:0001094	ZFA:0000041	ZP:0016932	PATO:0002000
ZFA:0000368	ZFA:0001161	ZFA:0000257	ZP:0017001	PATO:0002168
BSPO:0000056	ZFA:0000032	ZFA:0009301	ZP:0017086	PATO:0001905
GO:0016324	ZFA:0009285	ZFA:0005312	ZP:0017117	PATO:0001645
BSPO:0000072	ZFA:0000029	ZFA:0000022	ZP:0017306	PATO:0002000
ZFA:0005224	ZFA:0001117	ZFA:0009091	ZP:0017359	PATO:0002001
BSPO:0000075	ZFA:0001249	ZFA:0005739	ZP:0017577	PATO:0002000
BSPO:0000079	ZFA:0000029	ZFA:0009248	ZP:0017692	PATO:0002002
BSPO:0000079	ZFA:0000128	ZFA:0009248	ZP:0017695	PATO:0002002
BSPO:0000082	ZFA:0000014	ZFA:0000186	ZP:0017822	PATO:0001961
BSPO:0000082	ZFA:0000014	ZFA:0005026	ZP:0017823	PATO:0001961
ZFA:0001058	ZFA:0001269	ZFA:0000082	ZP:0018392	PATO:0001905
ZFA:0001058	ZFA:0001269	ZFA:0000005	ZP:0018393	PATO:0001999
GO:0005902	ZFA:0001288	ZFA:0005283	ZP:0018423	PATO:0001645
GO:0005764	ZFA:0009141	ZFA:0009141	ZP:0018623	PATO:0002269
GO:0005927	ZFA:0005277	ZFA:0009115	ZP:0018717	PATO:0001453
ZFA:0009241	ZFA:0000144	ZFA:0001464	ZP:0018847	PATO:0002168
BSPO:0000075	ZFA:0000152	ZFA:0009275	ZP:0018865	PATO:0001999
BSPO:0000075	ZFA:0000152	ZFA:0009262	ZP:0018868	PATO:0001999
