affected_entity_1_super	defined_class	pato_id	quality
ZFA:0001285	ZP:0000455	PATO:0001483	
ZFA:0005024	ZP:0000456	PATO:0000051	
ZFA:0005077	ZP:0000457	PATO:0000051	
GO:0003146	ZP:0000458	PATO:0001507	
GO:0006402	ZP:0000459	PATO:0001507	
GO:0060971	ZP:0000460	PATO:0001507	
ZFA:0000155	ZP:0000461	PATO:0000616	
GO:0001947	ZP:0000462	PATO:0000502	
GO:0060047	ZP:0000463	PATO:0000297	
GO:0071907	ZP:0000464	PATO:0001507	
ZFA:0000094	ZP:0000465	PATO:0000587	
ZFA:0001069	ZP:0000469	PATO:0000587	
ZFA:0001117	ZP:0000470	PATO:0000587	
ZFA:0001285	ZP:0000472	PATO:0002364	
ZFA:0001094	ZP:0000473	PATO:0000574	
ZFA:0009248	ZP:0000474	PATO:0000639	
GO:0001755	ZP:0000475	PATO:0001507	
GO:0008078	ZP:0000476	PATO:0001507	
GO:0030878	ZP:0000477	PATO:0001507	
GO:0035138	ZP:0000478	PATO:0001507	
GO:0048484	ZP:0000479	PATO:0001507	
GO:0048565	ZP:0000480	PATO:0001507	
GO:0051145	ZP:0000481	PATO:0001507	
GO:0060047	ZP:0000482	PATO:0001507	
GO:0060047	ZP:0000483	PATO:0001783	
GO:0060914	ZP:0000484	PATO:0001507	
GO:0071908	ZP:0000485	PATO:0001507	
ZFA:0000009	ZP:0000486	PATO:0000141	
ZFA:0000114	ZP:0000490	PATO:0000646	
ZFA:0000115	ZP:0000491	PATO:0001784	
ZFA:0000121	ZP:0000492	PATO:0000599	
ZFA:0000123	ZP:0000493	PATO:0001473	
ZFA:0000140	ZP:0000494	PATO:0001473	
ZFA:0000141	ZP:0000495	PATO:0000587	
ZFA:0000191	ZP:0000496	PATO:0000052	
ZFA:0001072	ZP:0000497	PATO:0001997	
ZFA:0001081	ZP:0000498	PATO:0000587	
ZFA:0001205	ZP:0000500	PATO:0000574	
ZFA:0005057	ZP:0000503	PATO:0001483	
ZFA:0009316	ZP:0000504	PATO:0002264	
ZFA:0009262	ZP:0000505	PATO:0001997	
GO:0035162	ZP:0000506	PATO:0001507	
GO:0042541	ZP:0000507	PATO:0001507	
GO:0043473	ZP:0000508	PATO:0001507	
ZFA:0001069	ZP:0000509	PATO:0001798	
ZFA:0001115	ZP:0000510	PATO:0002251	
ZFA:0001285	ZP:0000511	PATO:0000587	
ZFA:0005025	ZP:0000512	PATO:0000141	
ZFA:0009256	ZP:0000513	PATO:0000052	
