affected_entity_1_super	affected_entity_2_sub	affected_entity_2_super	defined_class	pato_id
ZFA:0001330	GO:0098681	ZFA:0009154	ZP:0138660	PATO:0002001
ZFA:0000075	GO:0031514	ZFA:0009033	ZP:0139732	PATO:0001905
ZFA:0000213	ZFA:0009248	ZFA:0000197	ZP:0139908	PATO:0001999
ZFA:0000079	GO:0043025	ZFA:0001682	ZP:0140061	PATO:0002002
ZFA:0000075	GO:0031514	ZFA:0009033	ZP:0140147	PATO:0002001
ZFA:0000428	GO:0032421	ZFA:0009121	ZP:0140211	PATO:0002001
ZFA:0000700	GO:0032421	ZFA:0009121	ZP:0140212	PATO:0002001
ZFA:0000009	CHEBI:3815	ZFA:0005147	ZP:0140428	PATO:0002271
ZFA:0000009	CHEBI:5054	ZFA:0005147	ZP:0140429	PATO:0002271
ZFA:0009114	ZFA:0009114	ZFA:0000155	ZP:0140436	PATO:0001453
ZFA:0000151	ZFA:0005243	ZFA:0000151	ZP:0140672	PATO:0002002
ZFA:0000099	GO:0031982	ZFA:0005257	ZP:0140705	PATO:0002002
ZFA:0001673	GO:0016234	ZFA:0001673	ZP:0140867	PATO:0002002
ZFA:0009327	GO:0005635	ZFA:0009327	ZP:0140935	PATO:0001999
ZFA:0000242	CHEBI:17234	ZFA:0000007	ZP:0141289	PATO:0001162
ZFA:0000242	CHEBI:28087	ZFA:0000123	ZP:0141290	PATO:0001162
ZFA:0000242	ZFA:0009101	ZFA:0000140	ZP:0141291	PATO:0002002
ZFA:0000242	ZFA:0009103	ZFA:0000140	ZP:0141292	PATO:0002002
ZFA:0001405	BSPO:0000072	ZFA:0001580	ZP:0141334	PATO:0001505
ZFA:0000354	CHEBI:29101	ZFA:0000354	ZP:0141453	PATO:0001163
ZFA:0000242	CHEBI:18059	ZFA:0000123	ZP:0141519	PATO:0002270
ZFA:0000242	CHEBI:28087	ZFA:0000123	ZP:0141520	PATO:0002271
ZFA:0005326	ZFA:0000368	ZFA:0000088	ZP:0141608	PATO:0002271
ZFA:0005327	ZFA:0000368	ZFA:0000088	ZP:0141609	PATO:0002271
ZFA:0007122	ZFA:0000368	ZFA:0000088	ZP:0141611	PATO:0002271
ZFA:0000166	GO:0005929	ZFA:0000166	ZP:0142111	PATO:0002001
ZFA:0001094	GO:0005833	ZFA:0009044	ZP:0142122	PATO:0045010
ZFA:0000075	GO:0005764	ZFA:0009140	ZP:0142198	PATO:0002002
ZFA:0001094	GO:0005833	ZFA:0009044	ZP:0142282	PATO:0001163
ZFA:0009135	GO:0030424	ZFA:0009052	ZP:0142356	PATO:0001668
ZFA:0000014	ZFA:0009036	ZFA:0000014	ZP:0142453	PATO:0002001
ZFA:0000477	ZFA:0009036	ZFA:0000477	ZP:0142454	PATO:0002001
ZFA:0001285	ZFA:0009036	ZFA:0001285	ZP:0142455	PATO:0002001
ZFA:0000186	ZFA:0009036	ZFA:0000186	ZP:0142456	PATO:0002001
