defined_class	anatomical_entity
ZP:0107554	http://purl.obolibrary.org/obo/ZFA_0009346
ZP:0107555	http://purl.obolibrary.org/obo/ZFA_0007066
ZP:0107556	http://purl.obolibrary.org/obo/ZFA_0001628
ZP:0107557	http://purl.obolibrary.org/obo/ZFA_0001514
ZP:0107558	http://purl.obolibrary.org/obo/ZFA_0005624
ZP:0107559	http://purl.obolibrary.org/obo/ZFA_0000485
ZP:0107560	http://purl.obolibrary.org/obo/ZFA_0005264
ZP:0107561	http://purl.obolibrary.org/obo/ZFA_0000953
ZP:0107562	http://purl.obolibrary.org/obo/ZFA_0005004
ZP:0107563	http://purl.obolibrary.org/obo/ZFA_0001612
ZP:0107564	http://purl.obolibrary.org/obo/ZFA_0000884
ZP:0107565	http://purl.obolibrary.org/obo/ZFA_0009117
ZP:0107566	http://purl.obolibrary.org/obo/ZFA_0007042
ZP:0107567	http://purl.obolibrary.org/obo/ZFA_0000019
ZP:0107568	http://purl.obolibrary.org/obo/ZFA_0001611
ZP:0107569	http://purl.obolibrary.org/obo/ZFA_0001306
ZP:0107570	http://purl.obolibrary.org/obo/ZFA_0000112
ZP:0107571	http://purl.obolibrary.org/obo/ZFA_0001357
ZP:0107572	http://purl.obolibrary.org/obo/ZFA_0000128
ZP:0107573	http://purl.obolibrary.org/obo/ZFA_0005063
ZP:0107574	http://purl.obolibrary.org/obo/ZFA_0001211
ZP:0107575	http://purl.obolibrary.org/obo/ZFA_0005744
ZP:0107576	http://purl.obolibrary.org/obo/ZFA_0005496
ZP:0107577	http://purl.obolibrary.org/obo/ZFA_0000734
ZP:0107578	http://purl.obolibrary.org/obo/ZFA_0000326
ZP:0107579	http://purl.obolibrary.org/obo/ZFA_0007065
ZP:0107580	http://purl.obolibrary.org/obo/ZFA_0000136
ZP:0107581	http://purl.obolibrary.org/obo/ZFA_0000243
ZP:0107582	http://purl.obolibrary.org/obo/ZFA_0000737
ZP:0107583	http://purl.obolibrary.org/obo/ZFA_0005675
ZP:0107584	http://purl.obolibrary.org/obo/ZFA_0005784
ZP:0107585	http://purl.obolibrary.org/obo/ZFA_0009114
ZP:0107586	http://purl.obolibrary.org/obo/ZFA_0005760
ZP:0107587	http://purl.obolibrary.org/obo/ZFA_0001410
ZP:0107588	http://purl.obolibrary.org/obo/ZFA_0005345
ZP:0107589	http://purl.obolibrary.org/obo/ZFA_0005343
ZP:0107590	http://purl.obolibrary.org/obo/ZFA_0001682
ZP:0107591	http://purl.obolibrary.org/obo/ZFA_0005737
ZP:0107592	http://purl.obolibrary.org/obo/ZFA_0009245
ZP:0107593	http://purl.obolibrary.org/obo/ZFA_0009051
ZP:0107594	http://purl.obolibrary.org/obo/ZFA_0009242
ZP:0107595	http://purl.obolibrary.org/obo/ZFA_0001311
ZP:0107596	http://purl.obolibrary.org/obo/ZFA_0005578
ZP:0107597	http://purl.obolibrary.org/obo/ZFA_0001431
ZP:0107598	http://purl.obolibrary.org/obo/ZFA_0000232
ZP:0107599	http://purl.obolibrary.org/obo/ZFA_0000146
ZP:0107600	http://purl.obolibrary.org/obo/ZFA_0000656
ZP:0107601	http://purl.obolibrary.org/obo/ZFA_0001537
ZP:0107602	http://purl.obolibrary.org/obo/ZFA_0000257
ZP:0107603	http://purl.obolibrary.org/obo/ZFA_0009174
ZP:0107604	http://purl.obolibrary.org/obo/ZFA_0001438
ZP:0107605	http://purl.obolibrary.org/obo/ZFA_0007116
ZP:0107606	http://purl.obolibrary.org/obo/ZFA_0000632
ZP:0107607	http://purl.obolibrary.org/obo/ZFA_0005477
ZP:0107608	http://purl.obolibrary.org/obo/ZFA_0005094
ZP:0107609	http://purl.obolibrary.org/obo/ZFA_0007057
ZP:0107610	http://purl.obolibrary.org/obo/ZFA_0000013
ZP:0107611	http://purl.obolibrary.org/obo/ZFA_0000190
ZP:0107612	http://purl.obolibrary.org/obo/ZFA_0000089
ZP:0107613	http://purl.obolibrary.org/obo/ZFA_0001069
ZP:0107614	http://purl.obolibrary.org/obo/ZFA_0005435
ZP:0107615	http://purl.obolibrary.org/obo/ZFA_0000407
ZP:0107616	http://purl.obolibrary.org/obo/ZFA_0005129
ZP:0107617	http://purl.obolibrary.org/obo/ZFA_0000732
ZP:0107618	http://purl.obolibrary.org/obo/ZFA_0005812
ZP:0107619	http://purl.obolibrary.org/obo/ZFA_0000431
ZP:0107620	http://purl.obolibrary.org/obo/ZFA_0007114
ZP:0107621	http://purl.obolibrary.org/obo/ZFA_0001627
ZP:0107622	http://purl.obolibrary.org/obo/ZFA_0000997
ZP:0107623	http://purl.obolibrary.org/obo/ZFA_0000433
ZP:0107624	http://purl.obolibrary.org/obo/ZFA_0000043
ZP:0107625	http://purl.obolibrary.org/obo/ZFA_0001086
ZP:0107626	http://purl.obolibrary.org/obo/ZFA_0001458
ZP:0107627	http://purl.obolibrary.org/obo/ZFA_0001613
ZP:0107628	http://purl.obolibrary.org/obo/ZFA_0001722
ZP:0107629	http://purl.obolibrary.org/obo/ZFA_0009284
ZP:0107630	http://purl.obolibrary.org/obo/ZFA_0005408
ZP:0107631	http://purl.obolibrary.org/obo/ZFA_0000622
ZP:0107632	http://purl.obolibrary.org/obo/ZFA_0005670
ZP:0107633	http://purl.obolibrary.org/obo/ZFA_0005673
ZP:0107634	http://purl.obolibrary.org/obo/ZFA_0005668
ZP:0107635	http://purl.obolibrary.org/obo/ZFA_0000131
ZP:0107636	http://purl.obolibrary.org/obo/ZFA_0005874
ZP:0107637	http://purl.obolibrary.org/obo/ZFA_0005209
ZP:0107638	http://purl.obolibrary.org/obo/ZFA_0005146
ZP:0107639	http://purl.obolibrary.org/obo/ZFA_0005811
ZP:0107640	http://purl.obolibrary.org/obo/ZFA_0005249
ZP:0107641	http://purl.obolibrary.org/obo/ZFA_0000163
ZP:0107642	http://purl.obolibrary.org/obo/ZFA_0001144
ZP:0107643	http://purl.obolibrary.org/obo/ZFA_0005851
ZP:0107644	http://purl.obolibrary.org/obo/ZFA_0000400
ZP:0107645	http://purl.obolibrary.org/obo/ZFA_0000733
ZP:0107646	http://purl.obolibrary.org/obo/ZFA_0005024
ZP:0107647	http://purl.obolibrary.org/obo/ZFA_0005037
ZP:0107648	http://purl.obolibrary.org/obo/ZFA_0000014
